,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,Cifar10,Cifar100,All
Min_relu_1,0.149877696681008,0.004621331438229871,0.1104593077750461,0.054963835701895516,0.28484388060848187,0.024038325906576518,0.04405041672477227,0.1258207360172096,0.15355375691456669,0.10246492138401994
Min_relu_2,0.0001198832206515056,0.0,0.04845961508912108,0.018334095066705407,0.256703856791641,0.0038069798709280895,0.012447872818457422,0.1604377919483712,0.18430229717271052,0.06484424998644844
Min_relu_3,0.0001022894898586355,1.3060848186846968e-06,0.019347583743085428,0.005811633825209172,0.17510644591272279,0.0013307237246465852,0.0028244401632810502,0.03903733866011063,0.053833581745543944,0.03182107497835812
Min_relu_4,0.00011737861094038106,7.70897357098955e-05,0.018767609096496617,0.006549437409447899,0.22896751306084817,0.0019835433312845644,0.0027131786949567663,0.02006660264290104,0.03744174093423479,0.03651626583157715
Min_relu_5,0.13625789028887522,0.00956335663798402,0.1171428126920713,0.07169600799298506,0.3039885333435771,0.02979433389674247,0.0627309116639895,0.13800186693300553,0.15122312538414256,0.11020215849418975
Min_relu_6,0.029207552243392748,0.005907075906576521,0.09655181699446835,0.056509662147469775,0.38693209127228023,0.031081799323909035,0.04948051008971506,0.08962602181929932,0.11373276736324522,0.09537730074170042
Min_relu_7,0.00045089889366933,0.0005598263675476337,0.01825993008604794,0.009231203770938841,0.2130506684081131,0.008387296404425319,0.009071562859931917,0.017136017209588197,0.02306010295021513,0.03530275656775329
Min_relu_8,0.00036495082974800225,4.4522126613398834e-05,0.036143573294406886,0.021617251517729343,0.1991602642901045,0.013092985556238466,0.014465419849562441,0.06765773663183774,0.06431467424708051,0.04431410971046905
Min_relu_9,0.0008462584511370619,0.00062460049170252,0.04292866472034419,0.021396699401102476,0.3215696335279656,0.01369319683466502,0.019502387925053245,0.04120013060848187,0.06221258451137062,0.05966354584831238
Min_relu_10,0.044177327904118005,0.042818557928703135,0.09514321220036878,0.0588822467750503,0.3354114128764597,0.04860586201598033,0.05142675509048119,0.06798281346035648,0.09002931776275354,0.09510645572120012
Min_relu_11,7.791180086047935e-05,0.00011775507068223722,0.014596777043638593,0.006408885307856285,0.16370660725261219,0.002453280577750455,0.0034369033415455855,0.02280338045482483,0.03434257068223724,0.02779929141967362
Min_relu_12,0.09247750460971113,0.02339259373079287,0.1428924323909035,0.09990093890072461,0.3328629417639828,0.052079786416717885,0.07372369537858167,0.18247917178856793,0.17747710510141365,0.12541843713650477
Min_relu_13,0.009180297326367548,0.013213521819299323,0.07514658881376766,0.05618823687171249,0.34019257452366314,0.05513414643515673,0.05912026396299147,0.05426154732636755,0.06898209127228026,0.0841267098912042
Min_relu_14,0.006694983097725875,0.023414770282728946,0.07282392055931161,0.05435202665973876,0.3109105523970498,0.03271746696373694,0.037351047364243786,0.062431246158574066,0.0815852566072526,0.07686833568023824
Min_relu_15,0.012838299016594956,0.006104225568531037,0.08193632452366319,0.04836873266131232,0.37306503149969267,0.030667874154886293,0.0463282510299756,0.06474414566687155,0.07524584357713583,0.08425742697668648
Min_relu_16,0.0003774738783036262,0.00025508604794099565,0.01934118392747388,0.011168298888325557,0.1999707475414874,0.011483624001229258,0.008540025721413328,0.02745043023970498,0.03270200522433928,0.03557248579101743
Min_relu_17,0.8044675937307928,0.7886928818377382,0.3989289451444376,0.38978634185491157,0.5992715926551936,0.37937319068838354,0.42876070649525944,0.24660753687768902,0.23958855255070682,0.5053495934911116
Min_relu_18,0.737319426090965,0.7452266172403197,0.5436207475414874,0.5377065967498694,0.5558605370313461,0.5356109903196067,0.5276475667095357,0.302277389366933,0.3404753457283344,0.5635902358680802
Min_relu_19,0.10544824830977259,0.20347390135218194,0.23970283497234174,0.22311019071765525,0.4114042524585126,0.20898099646588814,0.20023148841589494,0.12379236324523664,0.15394069606637983,0.21660698724075178
Min_relu_20,0.7670799861708667,0.8794821220036878,0.5682426936078673,0.586796108716575,0.6638695566994469,0.5685662761216963,0.5850308347063472,0.4470864858635526,0.44741754763368163,0.6340604467574462
Min_relu_21,0.7742211547326368,0.778213548709281,0.4707544253226798,0.49295422342131057,0.4843286416717885,0.5072007567609096,0.4826747730438211,0.3788383527965581,0.3717237553779963,0.5466907392837876
Min_relu_22,0.4189738129993854,0.47853017440073753,0.4850626882298709,0.5025514805108499,0.5544864090350339,0.46067867240319604,0.47172840494526025,0.2830181084818685,0.29890725261216966,0.4575753526414959
Min_relu_23,0.7025951137062078,0.8849380454824831,0.5199363206822373,0.5442527295384927,0.5831978718500308,0.5206709434542103,0.5352479990152177,0.42712777350952674,0.3959345958819914,0.5886182523803882
Min_relu_24,0.09201119007375538,0.1837040334972342,0.15273076213890596,0.1560947591720769,0.3726364205593116,0.19749424170251997,0.18621757061767547,0.11934451444376151,0.1116241856177013,0.1820520153427223
Min_relu_25,0.6459639021204671,0.792210974953903,0.5558759257836509,0.5727934044404205,0.663735291180086,0.5962230562384758,0.597983434307958,0.3766472956361402,0.37505256607252613,0.6001736061455072
Min_relu_26,0.5447497387830362,0.614721204671174,0.6250068108481869,0.6150534750296273,0.7555958666256914,0.6479032652120468,0.6466220458681322,0.5294918638598648,0.5209426321450522,0.6215369430033872
Min_relu_27,0.9570383220651506,0.96808051244622,0.818091798555624,0.8499441221508138,0.8571934042716656,0.8922709319299325,0.8946291313083315,0.6953768131530425,0.6607390673017824,0.8640354586759367
Min_relu_28,0.5042048632452366,0.6802750460971112,0.6096295712968653,0.6234103403433686,0.7354988629379225,0.6269267440073756,0.6405379804042084,0.44345867393976646,0.4387582821143208,0.6072129137920633
Min_relu_29,0.9569637100491704,0.9794795597725877,0.865700057621389,0.8715353321601249,0.8640860901966811,0.8705835010755993,0.8632789120565251,0.670716425937308,0.6961168331284573,0.8694586074528878
Min_relu_30,0.4437336163183774,0.5931819875537799,0.5797866164720343,0.5831939897937022,0.7368418523355869,0.6067229909342348,0.6138420199056882,0.42106574216349113,0.41844351567301785,0.5715361865836079
Min_relu_31,0.6124392862630609,0.682571385218193,0.6895212392440073,0.6907373381182155,0.7732035264290105,0.6505335125998771,0.6716415047887625,0.4981020359557468,0.5165822756607252,0.6595119832115088
Min_relu_32,0.8497047441610325,0.9271303434234789,0.8248104986170866,0.8287814556832807,0.8661556891518131,0.8254345113706207,0.8433200852559832,0.6987754071911494,0.6933267516902275,0.8325375340919723
Min_relu_33,0.5475860863552551,0.5702596611862323,0.5479765634603565,0.5691760114348026,0.6499201098647818,0.6262297979409958,0.6148287305087985,0.4187658804548249,0.39245056084818686,0.5657810488540076
Min_relu_34,0.49619032344806396,0.76461936462815,0.6673901198524893,0.6838692475556927,0.7678612400122926,0.7282632759680393,0.7087796833545956,0.5726215580823601,0.5336395743700062,0.6707204933329207
Min_relu_35,0.8246148086969883,0.9328421173939767,0.7356904732636755,0.7673166399028923,0.7743550706822372,0.8108836355255071,0.7855583388856464,0.6154816610325753,0.5867504609711125,0.7789864025894631
Min_relu_36,0.27408043177627534,0.5441612669022741,0.5682065995697603,0.5928748804150128,0.6020684273202213,0.5610628956668715,0.5546480048688192,0.51445147510756,0.4874132145052243,0.5241826935026398
Min_relu_37,0.8766342078979718,0.9538345689920098,0.8678609173325138,0.8874234870647116,0.8979953480331899,0.9051052128149969,0.906971695254623,0.7906791410571604,0.7576551551936078,0.8834231894393932
Min_relu_38,0.8084977105101414,0.93676801244622,0.8607018938229869,0.8692454061228642,0.871874147203442,0.8936652581438229,0.8774644307630858,0.7629354256299938,0.7361032652120467,0.8581817770715847
Min_relu_39,0.7656247349416102,0.8877884373079288,0.8676332552243392,0.871109012581177,0.8879758988936693,0.8644385948063922,0.8650708457937568,0.7665739704978487,0.7359792409342347,0.8447798096174942
Min_relu_40,0.6339917063614013,0.889924750307314,0.7860181123232944,0.7830644189001257,0.8181535494775661,0.7628275814382299,0.7628748500014633,0.6395666948371235,0.644316733251383,0.7597525552429991
Min_relu_41,0.47650699139520586,0.8446918408113091,0.7495916218500307,0.7390359219801264,0.8329062922556854,0.7530032536877689,0.725208624937375,0.6612721419791027,0.6624604025814382,0.7227803181634297
Min_relu_42,0.6840258412722803,0.8759165680700676,0.8001050437922557,0.8149018132939978,0.8351378764597418,0.8327943070067609,0.8315178216338779,0.743547249539029,0.7056484173325138,0.7994065351132715
Min_relu_43,0.8552849108789182,0.9710418408113092,0.902097057467732,0.9165656695189983,0.8801513368162261,0.9126829018131529,0.9048689137609562,0.8477349569760295,0.8200514904732636,0.8969200055131996
Min_relu_44,0.809759496004917,0.9474687231100185,0.8904081130915795,0.8963433086314754,0.8669574216349109,0.9042890788260604,0.890857251320934,0.8242365703749233,0.8323180470190534,0.8790963038847223
Min_relu_45,0.7177043023970499,0.9499819913952059,0.8440162914874001,0.8513702578926091,0.8747822372464659,0.8444900968039337,0.8447510196457194,0.7856133681622618,0.7528818761524277,0.8369033461872134
Min_relu_46,0.9693832744314691,0.9829414874001229,0.935101163952059,0.9385683870449592,0.9164447180393362,0.9314432429317763,0.9332982160288823,0.9155628149969268,0.9114742547633681,0.9401837182445765
Min_relu_47,0.9983693031653349,0.9988275660725261,0.9648675898893668,0.968061290003688,0.944543373540258,0.9656047480024585,0.9681859430926641,0.9360401659496005,0.9312662876459742,0.9677576576534944
Min_relu_48,0.9629259987707437,0.9724056545789799,0.9558270359557469,0.9533430844184341,0.9516261063306699,0.9500001613398894,0.9553421645240764,0.9397362630608482,0.9314114551321448,0.9546238820911895
Min_relu_49,0.9661979064228641,0.9850187077443145,0.9476961624154887,0.947102613394383,0.9418238514136448,0.9539793984326982,0.9523643169621874,0.9232572372464658,0.9058734326982175,0.9510857661414516
Min_relu_50,0.24607702443146895,0.5249837123540259,0.34193459972341733,0.34608052314747495,0.2830185848186847,0.38830799784880143,0.37009538787856877,0.1806270052243393,0.1767538183773817,0.33439113822379457
